trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00014644,SIG-BT-00014644,2024-03,BTCUSDT,screened_vwap_scalp,bullish,long,1710400440000,1710400500000,60000,73522.701600,73406.086842,73420.770996,73675.597506,0.016732,-1.951158,0.983345,1.352782,2.336127,-4.287284,1.500000,2,stop_loss,7.795741,-34.851537,-42.647278,7.993656,10.996827,18.990483,-34.851537,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00014696,SIG-BT-00014696,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710434520000,1710434700000,180000,70711.654840,70927.612167,70913.429481,70408.992879,0.008399,-1.813873,0.475864,0.653678,1.129541,-2.943414,1.500000,4,stop_loss,29.802274,-49.558879,-79.361153,8.012216,11.006107,19.018323,-49.558879,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014697,SIG-BT-00014697,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710436140000,1710436200000,60000,71113.474460,71279.337400,71265.084383,70886.059575,0.011130,-1.846024,0.633922,0.870997,1.504920,-3.350944,1.500000,2,stop_loss,18.979155,-42.337694,-61.316850,8.009329,11.004664,19.013993,-42.337694,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014698,SIG-BT-00014698,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710436620000,1710436920000,300000,71180.261100,71005.408250,71306.295162,70991.210008,0.013322,2.329373,0.757674,0.568488,1.326162,1.003211,1.500000,6,take_profit,13.559483,10.579532,-2.979950,7.990174,5.995088,13.985262,10.579532,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014699,SIG-BT-00014699,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710436980000,1710437100000,120000,71080.381080,70910.719005,71202.942002,70896.539697,0.013720,2.327744,0.779241,0.584663,1.363904,0.963840,1.500000,3,take_profit,12.863871,9.883364,-2.980507,7.990452,5.995227,13.985680,9.883364,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014700,SIG-BT-00014700,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710437880000,1710437880000,0,70985.500060,71122.101270,71107.879694,70801.930609,0.013760,-1.879619,0.782154,1.074804,1.856959,-3.736577,1.500000,1,stop_loss,12.860133,-38.255083,-51.115216,8.007697,11.003848,19.011546,-38.255083,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014701,SIG-BT-00014701,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710439260000,1710439440000,180000,71005.396080,70869.193159,71105.645364,70855.022154,0.016704,2.275169,0.947964,0.711200,1.659164,0.616004,1.500000,4,take_profit,8.177817,5.193561,-2.984256,7.992327,5.996165,13.988492,5.193561,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014702,SIG-BT-00014702,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710439500000,1710439680000,180000,70856.525860,70720.697467,70956.505663,70706.556156,0.016765,2.277120,0.949399,0.712277,1.661676,0.615444,1.500000,4,take_profit,8.165263,5.180997,-2.984266,7.992332,5.996167,13.988499,5.180997,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014703,SIG-BT-00014703,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710441120000,1710441480000,360000,70518.193540,70646.993765,70632.867192,70346.183063,0.014630,-1.884339,0.826095,1.135221,1.961316,-3.845656,1.500000,7,stop_loss,11.392354,-37.275780,-48.668135,8.007306,11.003652,19.010958,-37.275780,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
TRD-SIG-BT-00014704,SIG-BT-00014704,2024-03,BTCUSDT,screened_vwap_scalp,bearish,short,1710441780000,1710441960000,180000,70511.494880,70356.923102,70623.921780,70342.854531,0.014837,2.293349,0.836014,0.627240,1.463254,0.830095,1.500000,4,take_profit,10.916717,7.934653,-2.982065,7.991231,5.995617,13.986848,7.934653,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
